A,Verb,B,Count
precision float regions,utilize,rough float regions,1
optical receiver,be,image analysis,1
optical receiver,move,image analysis,1
optical receiver,perform,image analysis,1
supply pipe,provide,reaction bath,1
reaction bath,include,ejection holes,1
ejection holes,eject,reaction solution,1
ejecting holes,be,outer bath,1
ejecting holes,arrange,outer bath,1
outer bath,serve,reservoir bath,1
reservoir bath,provide,reaction bath,1
reaction bath,store,reaction solution,1
reaction solution,overflow,reaction bath,1
etching method,form,semiconductor material layer,1
etching method,modify,semiconductor material layer,1
etching method,select,semiconductor material layer,1
manufacturing method,complete,array substrate,1
touch function,use,photolithography processes,1
photolithography processes,simplify,production process,1
production process,save,production cycle,1
production process,shorten,production cycle,1
controller unit,configure,contamination level,1
controller unit,adjust,contamination level,1
controller unit,base,contamination level,1
display panel,be,water jet nozzle,1
display panel,configure,water jet nozzle,1
display panel,correspond,water jet nozzle,1
control switch,suspend,water jet nozzle,1
energetic particle,underlie,modification gas,1
energetic particle,be,modification gas,1
energetic particle,expose,modification gas,1
workpiece placement table,dispose,plasma processing container,1
facing surface,face,workpiece placement table,1
antenna,provide,dielectric member,1
dielectric member,face,induced electric field,1
dielectric member,configure,induced electric field,1
dielectric member,introduce,induced electric field,1
electromagnet group,dispose,plasma processing,1
plasma processing,configure,magnetic field,1
plasma processing,form,magnetic field,1
plasma processing container,configure,electric currents,1
plasma processing container,control,electric currents,1
electric currents,flow,electromagnet group,1
electromagnet group,generate,magnetic gradient,1
magnetic field,exist,plasma processing container,1
substrate processing system,configure,eccentricity detection,1
substrate processing system,process,eccentricity detection,1
substrate processing system,include,eccentricity detection,1
eccentricity detection,configure,modification layer,1
eccentricity detection,detect,modification layer,1
eccentricity detection,be,modification layer,1
eccentricity detection,bond,modification layer,1
modification layer,configure,periphery removing device,1
modification layer,be,periphery removing device,1
modification layer,remove,periphery removing device,1
periphery removing device,configure,modification layer,1
periphery removing device,remove,modification layer,1
periphery removing device,start,modification layer,1
dielectric material,spin-coating,die,1
dielectric material,form,annealed dielectric material,1
target film,comprise,first dielectric surface,1
hydrogen containing gas,form,passivation film,1
first dielectric surface,leave,second metallic surface,1
passivation film,deposit,target film,1
substrate processing apparatus,include,substrate rotator,1
processing liquid supply,be,substrate rotator,1
processing liquid supply,configure,substrate rotator,1
processing liquid supply,supply,substrate rotator,1
processing liquid supply,hold,substrate rotator,1
atomic layer etching method,etch,atomic layer etching apparatus,1
atomic layer etching apparatus,include,process chamber,1
process chamber,have,sealed process space,1
gas injection unit,instal,process,1
process,inject,substrate support,1
substrate support,instal,remote plasma generation device,1
substrate support,be,remote plasma generation device,1
substrate support,seat,remote plasma generation device,1
atomic layer etching method,include,substrate,1
substrate,prepare,process,1
process,prepare,substrate support,1
substrate support,modify,halogen gas,1
substrate support,radicalize,halogen gas,1
substrate support,contain,halogen gas,1
remote plasma generation device,couple,surface layer removal process,1
remote plasma generation device,supply,surface layer removal process,1
remote plasma generation device,purge,surface layer removal process,1
inhibitor layer,provide,atomic layer deposition,1
inhibitor layer,comprise,inhibitor layer gas,1
inhibitor layer,provide,inhibitor layer gas,1
imprint material,supply,substrate holder,1
imprint material,hold,substrate holder,1
substrate holder,bring,mold,1
mold,hold,mold holder,1
imprint apparatus,include,adjuster,1
adjuster,adjust,substrate,1
energy supply tool,cure,substrate,1
energy supply tool,hold,substrate,1
substrate,control,adjuster,1
adjuster,start,energy supply tool,1
energy supply tool,be,mold,1
first processing module,include,first process container,1
first process container,be,substrate loading port,1
first process container,process,substrate loading port,1
substrate loading port,instal,first processing,1
first utility system,include,first supply system,1
first supply system,configure,first process container,1
first supply system,supply,first process container,1
first utility system,be,first processing module,1
first utility system,connect,first processing module,1
first utility system,arrange,first processing module,1
first processing module,arrange,first processing,1
first processing,configure,first process container,1
first processing,exhaust,first process container,1
first process container,wherein,first utility system,1
first process container,include,first utility system,1
first process container,configure,first utility system,1
first process container,do,first utility system,1
first process container,protrude,first utility system,1
annular support,configure,annular partition wall,1
annular support,support,annular partition wall,1
annular partition wall,configure,mounting surface,1
annular partition wall,divide,mounting surface,1
mounting surface,configure,outer flow path,1
mounting surface,support,outer flow path,1
mounting surface,leave,outer flow path,1
outer flow path,configure,heat transfer gas,1
outer flow path,allow,heat transfer gas,1
heat transfer gas,supply,mounting,1
mounting,flow,inner flow path,1
inner flow path,configure,heat transfer gas,1
inner flow path,allow,heat transfer gas,1
heat transfer gas,flow,annular diffusion portion,1
annular diffusion portion,configure,heat transfer gas,1
annular diffusion portion,diffuse,heat transfer gas,1
load lock apparatus,couple,substrate carriers,1
substrate carriers,couple,environmental control system,1
environmental control system,couple,relative humidity,1
environmental control system,monitor,relative humidity,1
environmental control system,control,relative humidity,1
heating unit,have,heating wire,1
heating wire,be,temperature sensor,1
heating wire,provide,temperature sensor,1
heating wire,heat,temperature sensor,1
temperature sensor,measure,heating wire,1
metrology method,determine,patterned structure,1
patterned structure,include,raw measured TEM image data,1
patterned structure,provide,raw measured TEM image data,1
predetermined simulated TEM image data,include,patterned structure,1
simulated weight map,include,patterned structure,1
simulated weight map,assign,patterned structure,1
simulated weight map,correspond,patterned structure,1
patterned structure,perform,fitting procedure,1
wafer processing method,include,wafer providing step,1
wafer providing step,place,polyester sheet,1
polyester sheet,support,thermocompression bonding step,1
polyester sheet,place,thermocompression bonding step,1
polyester sheet,be,thermocompression bonding step,1
polyester sheet,expose,thermocompression bonding step,1
thermocompression bonding step,set,enclosed environment,1
thermocompression bonding step,place,enclosed environment,1
enclosed environment,evacuate,thermocompression bonding,1
enclosed environment,heat,thermocompression bonding,1
enclosed environment,apply,thermocompression bonding,1
enclosed environment,unite,thermocompression bonding,1
substrate support part,configure,bottom surface,1
substrate support part,support,bottom surface,1
outer band,provide,substrate support part,1
substrate support part,have,top surface,1
top surface,be,substrate support part,1
outer sidewall,provide,groove part,1
groove part,provide,substrate support part,1
support apparatus,approximate,surface profile,1
support apparatus,include,mutually lateral adjacent support elements,1
support apparatus,include,thermal energy transfer device,1
thermal energy transfer device,couple,mutually lateral support elements,1
actuator system,couple,mutually lateral support elements,1
actuator system,move,mutually lateral support elements,1
interconnect structure,be,semiconductor device,1
interconnect structure,dispose,semiconductor device,1
dielectric layer,be,interconnect structure,1
dielectric layer,dispose,interconnect structure,1
conductive via,extend,conductive structure,1
conductive via,include,tapered portion,1
dual damascene interconnect,include,metal hardmask,1
dual damascene interconnect,deposit,metal hardmask,1
dielectric layer,etch,metal hardmask,1
metal hardmask,expose,top surface,1
dielectric layer,etch,interconnect opening,1
base conductive layer,modify,metal hardmask opening,1
metal hardmask opening,deposit,conductive material,1
drain epitaxial structure,be,gate structure,1
backside dielectric layer,be,source epitaxial structure,1
drain epitaxial structure,have,air gap,1
semiconductor material,have,upper faceted surface,1
lower faceted surface,be,semiconductor contact etch stop layer,1
lower faceted surface,raise,semiconductor contact etch stop layer,1
semiconductor contact etch stop layer,contact,upper faceted surface,1
lower faceted surface,include,semiconductor material,1
substrate processing system,include,modification layer,1
modification layer,configure,interface processing device,1
modification layer,be,interface processing device,1
modification layer,remove,interface processing device,1
interface processing device,process,modification layer,1
interface processing device,be,modification layer,1
interface processing device,bond,modification layer,1
interface processing device,start,modification layer,1
position detection device,configure,modification layer,1
position detection device,detect,modification layer,1
F,comprise,semiconductor die,1
warpage control structures,locate,semiconductor die,1
mold compound,encapsulate,semiconductor die,1
warpage control structures,assist,packaged system,1
warpage control structures,eliminate,packaged system,1
warpage control structures,occur,packaged system,1
warpage control structures,assist,costs,1
warpage control structures,reduce,costs,1
costs,associate,semiconductor packaging,1
blocking layer,be,recess patterns,1
blocking layer,provide,recess patterns,1
recesses,form,buffer layer,1
recesses,wherein,buffer layer,1
recesses,be,buffer layer,1
buffer layer,say,epitaxial layer,1
epitaxial layer,comprise,buried portion,1
buried portion,connect,epitaxial layer,1
buried portion,bury,epitaxial layer,1
buried portion,be,epitaxial layer,1
substrate polishing system,be,distribution system,1
substrate polishing system,provide,distribution system,1
substrate polishing system,hold,distribution system,1
distribution system,adapt,oxidation slurry,1
distribution system,dispense,oxidation slurry,1
distribution system,select,oxidation slurry,1
distribution system,consist,oxidation slurry,1
lower turn tables,have,holding hole,1
lower turn tables,attach,holding hole,1
lower turn tables,include,holding hole,1
holding hole,form,semiconductor silicon wafer,1
holding hole,hold,semiconductor silicon wafer,1
contact angle,come,semiconductor silicon wafer,1
contact angle,polish,semiconductor silicon wafer,1
contact angle,provide,semiconductor silicon wafer,1
contact angle,enhance,semiconductor silicon wafer,1
semiconductor silicon wafer,use,resinous carrier,1
system,couple,reaction chamber,1
bypass line,couple,gas detector,1
gas detector,couple,connecting line,1
connecting line,thereby,residual gas,1
connecting line,remove,residual gas,1
connecting line,otherwise,gas detector,1
connecting line,affect,gas detector,1
interference signals,include,interferometer,1
interferometer,include,light source,1
interferometer,be,interference signals,1
interferometer,configure,interference signals,1
interferometer,provide,interference signals,1
interference signals,correspond,semiconductor chip,1
microlens,accord,etching step,1
microlens,include,etching step,1
target object,be,second organic film,1
target object,obtain,second organic film,1
target object,form,second organic film,1
second organic film,have,first organic film,1
first organic film,form,first,1
first organic film,subject,first,1
first organic film,etch,first,1
first organic film,use,first,1
first,use,second,1
first organic film,be,microlens,1
first organic film,etch,microlens,1
first organic film,transfer,microlens,1
first organic film,form,microlens,1
surface treatment,be,microlens,1
surface treatment,perform,microlens,1
surface treatment,smooth,microlens,1
plasma processing,include,edge ring assembly,1
edge ring assembly,include,dielectric ring,1
magnetic field,affect,fabrication yield,1
magnetic field,increase,fabrication yield,1
patterned hardmask,provide,ion source,1
patterned hardmask,do,plasma treatment,1
patterned hardmask,receive,plasma treatment,1
first mask layer,be,semiconductor substrate,1
first mask layer,form,semiconductor substrate,1
mandrel material,be,first,1
mandrel material,form,first,1
second mask layer,be,mandrel material,1
second mask layer,form,mandrel material,1
fin structure,extend,dummy gate structures,1
fin structure,form,dummy gate structures,1
dummy gate structures,extend,fin structure,1
fin structure,include,hard mask layer,1
hard mask layer,perform,ion implantation process,1
dummy gate structures,perform,ion implantation process,1
dummy gate structures,perform,etching process,1
etching process,etch,fin,1
fin,form,epitaxial structure,1
epitaxial structure,replace,metal gate structures,1
plasma processing method,remove,plasma etching,1
plasma etching,use,amorphous carbon film,1
plasma etching,have,amorphous carbon film,1
plasma processing method,include,amorphous carbon film,1
plasma processing method,remove,amorphous carbon film,1
film deposition material,form,chemical bond,1
chemical bond,be,substrate surface,1
chemical bond,supply,substrate surface,1
semiconductor manufacturing apparatuses,include,ceramic electrostatic chuck,1
cooling plate,bond,thermosetting sheet,1
epoxy resin,methacrylate,curing agent,1
support plate,support,rotary drive member,1
rotary drive member,rotate,support plate,1
lower fluid dispensing unit,dispense,lower surface,1
lower surface,support,support plate,1
rotary drive member,include,hollow shaft,1
hollow shaft,couple,support plate,1
lower fluid dispensing unit,include,fixed shaft,1
fixed shaft,have,interior space,1
interior space,be,fluid dispensing tube,1
interior space,provide,fluid dispensing tube,1
fixed shaft,generate,downward air flow,1
substrate cooling apparatus,include,cooling unit,1
substrate cooling apparatus,be,cooling unit,1
substrate cooling apparatus,place,cooling unit,1
cooling,include,heat dissipation plate,1
susceptor,irradiate,semiconductor wafer,1
semiconductor wafer,be,end edge part radiation thermometer,1
semiconductor wafer,measure,end edge part radiation thermometer,1
susceptor,be,central part radiation thermometer,1
susceptor,measure,central part radiation thermometer,1
singular point,appear,temporal differentiation,1
temporal differentiation,measure,end edge part radiation,1
temporal differentiation,measure,central part radiation thermometer,1
semiconductor wafer,determine,bowing state,1
bowing state,be,semiconductor wafer,1
bowing state,omit,semiconductor wafer,1
critical parameters,be,semiconductor manufacturing tool,1
critical parameters,use,semiconductor manufacturing tool,1
critical parameters,design,semiconductor manufacturing tool,1
semiconductor manufacturing tool,match,semiconductor,1
semic,manufacture,semiconductor manufacturing tool,1
semic,develop,semiconductor manufacturing tool,1
vacuum ports,be,temperature sensors,1
vacuum ports,form,temperature sensors,1
heating device,configure,heating plate,1
heating device,heat,heating plate,1
second power supplies,generate,second feedback temperature control signals,1
second feedback temperature control signals,control,temperature sensors,1
second feedback temperature control signals,base,temperature sensors,1
second feedback temperature control signals,generate,temperature sensors,1
electronic pressure regulator,configure,vacuum ports,1
electronic pressure regulator,provide,vacuum ports,1
electronic pressure regulator,fix,vacuum ports,1
wafer chucking controller,configure,electronic pressure regulator,1
wafer chucking controller,control,electronic pressure regulator,1
electronic device manufacturing system,include,transfer chamber,1
processing chambers,connect,transfer chamber,1
load lock,connect,transfer chamber,1
factory interface,connect,load lock,1
factory interface,orient,load lock,1
factory interface,be,load lock,1
factory interface,position,load lock,1
load lock,be,maintenance,1
factory interface,orient,maintenance,1
factory interface,be,maintenance,1
factory interface,position,maintenance,1
factory interface,provide,maintenance,1
index module,include,load port,1
load port,have,transfer frame,1
load port,receive,transfer frame,1
load port,be,transfer frame,1
load port,load,transfer frame,1
transfer frame,be,treatment module,1
transfer frame,dispose,treatment module,1
treatment module,include,process chambers,1
transfer chamber,include,transfer robot,1
transfer chamber,have,transfer robot,1
transfer chamber,be,transfer robot,1
transfer chamber,transfer,transfer robot,1
transfer robot,be,process,1
transfer robot,dispose,process,1
transfer robot,transfer,process,1
electrostatic chuck,be,current value,1
electrostatic chuck,fix,current value,1
voltage value,be,ammeter,1
voltage value,measure,ammeter,1
voltage value,use,ammeter,1
peak current value,base,value,1
peak current value,measure,value,1
substrate fixing apparatus,include,base plate,1
electrostatic adsorption member,retain,support member,1
support member,be,base plate,1
support member,dispose,base plate,1
base plate,support,electrostatic adsorption member,1
support member,contact,base plate,1
support member,be,elastic modulus,1
pickup head tilting control device,include,correction plate,1
tilting driving device,be,correction plate,1
tilting driving device,couple,correction plate,1
correction plate,include,correction surface,1
integrated circuit structure,include,conductive features,1
dielectric layer,overlie,substrate,1
barrier layer,dispose,conductive features,1
processing method,include,laser processing step,1
laser processing step,form,laser processed grooves,1
laser processed grooves,remove,irradiation,1
laser processed grooves,execute,irradiation,1
processing method,include,grinding step,1
grinding step,cause,processing distortion removal step,1
grinding step,groove,processing distortion removal step,1
grinding step,be,processing distortion removal step,1
grinding step,expose,processing distortion removal step,1
grinding step,divide,processing distortion removal step,1
grinding step,grind,processing distortion removal step,1
grinding step,thin,processing distortion removal step,1
processing distortion removal step,supply,processing distortion,1
first recess region,surround,integrated circuit region,1
semiconductor device,include,stopper layer,1
semiconductor device,form,stopper layer,1
stopper layer,form,intermediate pattern material layer,1
stopper layer,form,first preliminary intermediate patterns,1
first preliminary intermediate patterns,pattern,intermediate pattern material layer,1
intermediate pattern material layer,form,second preliminary intermediate patterns,1
second preliminary intermediate patterns,shrink,conductive material layer,1
second preliminary intermediate patterns,form,conductive material layer,1
conductive material layer,cover,preliminary conductive interconnection patterns,1
conductive material layer,form,preliminary conductive interconnection patterns,1
preliminary conductive interconnection patterns,pattern,conductive material layer,1
conductive material layer,form,filling layer,1
preliminary conductive interconnection patterns,form,conductive interconnection patterns,1
filling patterns,remove,filling layer,1
alignment carrier,be,local die alignment marks,1
alignment carrier,configure,local die alignment marks,1
alignment carrier,have,local die alignment marks,1
non-linear positional errors,be,local die alignment marks,1
non-linear positional errors,reduce,local die alignment marks,1
scaling,improve,throughput,1
semiconductor device,include,doped substrate,1
barrier layer,dispose,doped substrate,1
channel layer,dispose,doped substrate,1
doped semiconductor structure,dispose,doped substrate,1
barrier layer,be,band gap,1
doped semiconductor structure,have,doped substrate,1
doped substrate,include,doped silicon substrate,1
first spacer,be,gate stack,1
dielectric residue,be,air gap,1
dielectric residue,have,etch resistance,1
flash memory,be,memory cell region,1
flash memory,provide,memory cell region,1
memory transistor array,include,memory transistors,1
functional layer,cover,memory transistors,1
dielectric layer,cover,memory transistors,1
selecting transistors,fill,air gaps,1
selecting transistors,select,air gaps,1
air gaps,form,memory transistors,1
functional layer,have,roughened surface,1
flash memory,be,water vapor,1
conductive layers,include,first conductive layers,1
semiconductor memory device,include,layers,1
layers,dispose,second,1
semiconductor substrate,form,mold structure,1
semiconductor substrate,penetrate,mold structure,1
mold structure,form,protective layer,1
bottom surface,form,lower electrode,1
protective layer,etch,supporter layer,1
supporter layer,form,lower electrode,1
supporter layer,support,lower electrode,1
lower electrode,remove,mold layer,1
mold layer,define,protective layer,1
Si,distal,gate stack,1
SiGe,dispose,dopant,1
SiGe,have,dopant,1
trench MOS Schottky diode,include,first semiconductor layer,1
second semiconductor layer,be,anode electrode,1
second semiconductor layer,stack,anode electrode,1
second semiconductor layer,open,anode electrode,1
anode electrode,form,cathode electrode,1
cathode electrode,form,insulating film,1
insulating film,cover,trench electrode,1
trench electrode,bury,insulating film,1
trench electrode,cover,insulating film,1
insulating film,be,anode electrode,1
rotating mechanism,be,platen,1
rotating mechanism,configure,platen,1
rotating mechanism,rotate,platen,1
light source,be,incident light,1
light source,configure,incident light,1
light source,provide,incident light,1
edge reservoir,be,etching process,1
edge reservoir,remove,etching process,1
lithography process,include,surfactant,1
surfactant,contain,oligomer,1
oligomer,have,perf,1
structure,include,alkyl partial structure,1
surfactant,be,composition,1
surfactant,contain,composition,1
surfactant,base,composition,1
composition,include,coating film resin,1
coating film resin,be,novolac resin,1
plasma processing apparatus,perform,film forming cycle,1
laminar flow,be,Coanda flow,1
laminar flow,configure,Coanda flow,1
laminar flow,generate,Coanda flow,1
substrate holder,determine,first processable number,1
second processable number,generate,first condition data,1
second processable number,constitute,first condition data,1
first processable number,represent,substrate holder,1
substrate holder,generate,second condition data,1
substrate holder,constitute,second condition data,1
second processable number,represent,substrate holder,1
substrate holder,optimize,prediction model,1
prediction model,constitute,neural network,1
neural network,use,training,1
substrate processing apparatus,include,stage,1
outer peripheral ring,surround,stage,1
gas supply unit,configure,stage,1
gas supply unit,supply,stage,1
gas supply unit,provide,stage,1
electromagnetic radiation,include,tubular body,1
reflective coating,dispose,tubular body,1
tubular body,form,reflective portion,1
process chamber,wherein,first gas supply holes,1
process chamber,include,first gas supply holes,1
first gas supply holes,dispose,second gas supply holes,1
first gas supply holes,extend,second gas supply holes,1
first gas supply holes,correspond,second gas supply holes,1
first gas supply holes,be,second gas supply holes,1
first gas supply holes,arrange,second gas supply holes,1
first gas supply holes,include,second gas supply holes,1
etching method,form,processing target film,1
processing target film,include,convex portions,1
convex portions,form,processing target film,1
processing target film,cover,convex portions,1
processing target film,expose,convex portions,1
plasma,deposit,passivation layer,1
plasma,remove,high aspect ratio structure,1
process,include,metal oxide,1
atomic layer etching,include,cyclic processes,1
cyclic processes,expose,or,1
cyclic processes,contain,or,1
stack structure,be,staircase region,1
stack structure,form,staircase region,1
stack structure,include,interleaved first material layers,1
protective film forming step,form,protective film,1
protective film,become,plasma etching,1
plasma etching,etch,protective film,1
condenser,configure,internal volume,1
condenser,connect,internal volume,1
processing chamber,have,internal volume,1
gas panel,be,processing fluid,1
semiconductor manufacturing process,include,heating jacket,1
heating jacket,provide,housing unit,1
housing unit,provide,exhaust gas,1
exhaust gas,contain,semiconductor manufacturing process,1
exhaust gas,discharge,semiconductor manufacturing process,1
exhaust gas,be,semiconductor manufacturing process,1
exhaust gas,use,semiconductor manufacturing process,1
upper internal collecting tower,have,lower internal collection tower,1
upper internal collecting tower,collect,lower internal collection tower,1
upper internal collecting tower,arrange,lower internal collection tower,1
upper internal collecting tower,realize,lower internal collection tower,1
upper internal collecting tower,move,lower internal collection tower,1
cooling line,collect,semiconductor manufacturing process,1
inner wall plate,collect,internal collecting tower,1
inner wall plate,generate,internal collecting tower,1
inner wall plate,introduce,internal collecting tower,1
internal collecting tower,include,upper cover plate,1
vortex,fit,cooling channel,1
vortex,condense,cooling channel,1
vortex,collect,cooling channel,1
cooling channel,cool,internal collecting tower,1
cooling channel,use,internal collecting tower,1
cooling channel,pass,internal collecting tower,1
semiconductor wafer,combine,batch cleaning,1
load port,put,chemical solution,1
load port,say,chemical solution,1
load port,fill,chemical solution,1
chemical solution,fill,single wafer cleaning module,1
single wafer cleaning module,rotate,chemical solution,1
single wafer cleaning module,apply,chemical solution,1
chemical solution,say,deionized water,1
chemical solution,apply,deionized water,1
deionized water,dry,single wafer cleaning module,1
deionized water,take,single wafer cleaning module,1
single wafer cleaning module,put,load port,1
single wafer cleaning module,say,load port,1
heating,comprise,laser module,1
heating,be,laser module,1
heating,place,laser module,1
laser module,generate,laser beam,1
laser module,output,laser beam,1
optical module,control,laser beam,1
polygon mirror,rotate,laser beam,1
polygon mirror,have,laser beam,1
beam guide module,control,incidence range,1
incidence range,reflect,polygon mirror,1
polygon mirror,be,laser,1
polygon mirror,use,laser,1
semiconductor processing station,include,cooling stage,1
cooling pipe,dispose,external pipe,1
cooling pipe,include,wafer carrier,1
cooling pipe,locate,wafer carrier,1
external pipe,be,cooling pipe,1
external pipe,connect,cooling pipe,1
external pipe,provide,cooling pipe,1
external pipe,flow,cooling pipe,1
process gas supply,provide,carrier gas,1
upstream pressure controller,connect,distribution manifold,1
carrier gas,base,back pressure set point,1
processing chamber,be,electrostatic chuck,1
processing chamber,place,electrostatic chuck,1
electrostatic chuck,provide,processing chamber,1
processing chamber,be,attracting electrode,1
processing chamber,apply,attracting electrode,1
DC voltage,adjust,electrostatic chuck,1
DC voltage,become,electrostatic chuck,1
DC voltage,remove,electrostatic chuck,1
transfer element,be,wafer tape,1
transfer element,dispose,wafer tape,1
transfer element,have,wafer tape,1
transfer element,size,wafer tape,1
transfer element,span,wafer tape,1
actuator,be,transfer element,1
actuator,connect,transfer element,1
first arm,be,first base link,1
first arm,provide,first base link,1
first base link,provide,pivoting axis,1
first base link,be,pivoting axis,1
first intermediate link,hold,second arm,1
first intermediate link,configure,second arm,1
first intermediate link,move,second arm,1
second arm,be,link,1
second arm,provide,link,1
link,provide,pivoting axis,1
link,be,pivoting axis,1
second intermediate link,hold,positional relationship,1
second intermediate link,move,positional relationship,1
second intermediate link,pivot,positional relationship,1
second intermediate link,maintain,positional relationship,1
insulating structure,be,fin,1
electrode,be,insulating structure,1
lectric spacer,be,second,1
dielectric layer,surround,anneal process,1
dielectric layer,perform,anneal process,1
anneal process,transform,dielectric layer,1
shallow trench isolation,remove,stack structure,1
stack structure,include,semiconductor layer,1
substrate accommodating container,detect,contamination state,1
substrate accommodating container,wherein,contamination state,1
protection layers,reduce,silicon leakage,1
silicon leakage,fabricate,semiconductor device,1
semiconductor device,include,first die,1
conductive feature,position,second die,1
second die,position,first mask layer,1
first mask layer,position,conductive filler layer,1
conductive filler layer,position,conductive feature,1
conductive filler layer,extend,conductive feature,1
conductive filler layer,contact,conductive feature,1
isolation layers,position,conductive filler layer,1
protection layers,position,conductive filler layer,1
first,cover,isolation layers,1
frame,include,insulation substrate,1
filter materials,include,polyol ligand,1
polyol ligand,and/or,polyphosphonic acid ligand,1
polyphosphonic acid ligand,be,metal ions,1
polyphosphonic acid ligand,filter,metal ions,1
filter materials,be,wet etching,1
filter materials,filter,wet etching,1
filter materials,use,wet etching,1
wet etching,remove,cleaning steps,1
substrate treatment apparatus,include,substrate holding unit,1
rotator,rotate,substrate holding unit,1
first liquid nozzle,supply,rinsing liquid,1
second liquid nozzle,supply,low surface tension liquid,1
lifting mechanism,move,contact position,1
contact position,allow,separation position,1
contact position,be,separation position,1
contact position,bring,separation position,1
separation position,allow,gas nozzle,1
separation position,be,gas nozzle,1
separation position,separate,gas nozzle,1
gas nozzle,provide,suction pump,1
gas nozzle,suck,suction pump,1
suction pump,suck,gas nozzle,1
gas supply source,supply,inert gas,1
gas nozzle,perform,inert gas,1
light irradiation device,perform,optical cleaning,1
light irradiation device,emit,transport path,1
light irradiation device,transport,transport path,1
transport path,include,lamp house,1
lamp house,have,transport,1
transport,provide,lamp house,1
forming member,have,transport path,1
inert gas,serve,shielding body,1
shielding body,form,gas circulation resistance bottleneck,1
gas circulation resistance bottleneck,shield,lamp house,1
gas circulation resistance bottleneck,be,lamp house,1
gas circulation resistance bottleneck,provide,lamp house,1
laser light irradiating device,include,spatial light modulator,1
spatial light modulator,configure,laser light source,1
spatial light modulator,modulate,laser light source,1
laser light source,accord,phase pattern,1
phase pattern,emit,modulated laser light,1
objective lens,configure,spatial light modulator,1
objective lens,converge,spatial light modulator,1
objective lens,emit,spatial light modulator,1
focusing lens,arrange,spatial light modulator,1
objective lens,configure,slit member,1
objective lens,focus,slit member,1
slit member,arrange,focusing lens,1
cell areas,define,groove line,1
groove line,have,cell areas,1
silicon etching solution,include,quaternary alkylammonium hydroxide,1
silicon etching solution,comprise,quaternary alkylammonium hydroxide,1
water,represent,hydrogen atom,1
water,be,hydrogen atom,1
alkyl group,be,hydrogen atom,1
intermediate chamber,form,outlet chamber,1
backup pump,be,outlet chamber,1
backup pump,provide,outlet chamber,1
backup pump,connect,outlet chamber,1
backup pump,form,outlet chamber,1
outlet chamber,be,intermediate chamber,1
outlet chamber,damage,intermediate chamber,1
manufacturing method,include,photoresist pattern,1
manufacturing method,provide,photoresist pattern,1
manufacturing method,form,photoresist pattern,1
photoresist pattern,include,first patterns,1
photoresist pattern,form,first patterns,1
lithography mask,facilitate,adhesive residue,1
substrate processing system,etch,upper chamber region,1
substrate processing system,include,upper chamber region,1
inductive coil,arrange,lower,1
pumping compartment,be,central frame,1
pumping compartment,include,central frame,1
spokes,do,plasma ignition,1
spokes,allow,plasma ignition,1
plasma ignition,provide,flow resistance,1
dielectric film,form,processing chamber,1
processing chamber,expose,dielectric film,1
dielectric coating,form,photoresist coating,1
photoresist coating,form,metal coating,1
dielectric coating,expose,nanowire growth surface,1
dielectric coating,remove,nanowire growth surface,1
dielectric coating,form,nanowire growth surface,1
amorphous carbon film,position,susceptor,1
patterned region,form,organic film,1
organic film,use,plasma,1
display substrate,include,thin film transistor,1
base substrate,form,planarization layer,1
planarization layer,cover,thin film transistor,1
thin film transistor,form,metal mask layer,1
plan,pattern,metal mask layer,1
metal mask layer,form,etching hole,1
etching hole,expose,planarization layer,1
planarization layer,expose,etching hole,1
etching hole,form,first via hole,1
first via hole,penetrate,planarization layer,1
planarization layer,remove,metal mask layer,1
planarization layer,remain,metal mask layer,1
processing chamber,include,internal volume,1
processing chamber,load,internal volume,1
gas conduit,utilize,temperature,1
internal volume,be,processing fluid,1
internal volume,maintain,processing fluid,1
substrate processing apparatus,include,liquid supply unit,1
substrate processing apparatus,configure,liquid supply unit,1
substrate processing apparatus,hold,liquid supply unit,1
substrate processing apparatus,be,liquid supply unit,1
substrate processing apparatus,form,liquid supply unit,1
liquid supply unit,configure,liquid film,1
liquid supply unit,supply,liquid film,1
liquid supply unit,hold,liquid film,1
liquid supply unit,form,liquid film,1
heating unit,configure,film,1
heating unit,irradiate,film,1
heating unit,hold,film,1
film,heat,liquid film,1
heating,expose,liquid film,1
heating,irradiate,liquid film,1
filler feeder,hold,substrate holder,1
semiconductor manufacturing apparatus,include,through hole,1
alumina sintered body,have,wafer placement surface,1
alumina sintered body,serve,wafer placement surface,1
insulating pipe,be,alumina sintered body,1
insulating pipe,form,alumina sintered body,1
alumina sintered body,interpose,insulating pipe,1
embodiment,include,treatment tank,1
treatment tank,store,chemical solution,1
chemical solution,treat,air bubble,1
chemical solution,have,air bubble,1
air bubble,be,rod body,1
air bubble,discharge,rod body,1
residual stress,generate,protective tape,1
semiconductor wafer,provide,protective tape,1
semiconductor wafer,be,protective tape,1
semiconductor wafer,apply,protective tape,1
semiconductor wafer,include,tape conveyance mechanism,1
tape conveyance mechanism,configure,protective tape,1
tape conveyance mechanism,convey,protective tape,1
protective tape,apply,base material,1
tape holding body,hold,protective tape,1
protective tape,configure,tape holding body,1
peeling mechanism,configure,base material,1
peeling mechanism,peel,base material,1
protective tape,hold,tape holding body,1
spin coating,include,rotatable rotary shaft,1
rotatable rotary shaft,fix,electromagnetic induction device,1
electromagnetic induction device,include,annular magnet,1
